披露日,イベント名,簡略イベント名1,簡略イベント名2,会場,都道府県,曲順,曲名,曲名2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
2014/4/6,THE IDOLM@STER CINDERELLA GIRLS 1stLIVE WONDERFUL M@GIC!!,1stLIVE WONDERFUL M@GIC!!,day2,舞浜アンフィシアター,千葉,9,あんずのうた,,五十嵐裕美,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/4/6,THE IDOLM@STER CINDERELLA GIRLS 1stLIVE WONDERFUL M@GIC!!,1stLIVE WONDERFUL M@GIC!!,day2,舞浜アンフィシアター,千葉,10,おねだりShall We ～?,,高森奈津美,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/4/6,THE IDOLM@STER CINDERELLA GIRLS 1stLIVE WONDERFUL M@GIC!!,1stLIVE WONDERFUL M@GIC!!,day2,舞浜アンフィシアター,千葉,11,ショコラ・ティアラ,,大坪由佳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/4/6,THE IDOLM@STER CINDERELLA GIRLS 1stLIVE WONDERFUL M@GIC!!,1stLIVE WONDERFUL M@GIC!!,day2,舞浜アンフィシアター,千葉,12,Naked Romance,,津田美波,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/4/6,THE IDOLM@STER CINDERELLA GIRLS 1stLIVE WONDERFUL M@GIC!!,1stLIVE WONDERFUL M@GIC!!,day2,舞浜アンフィシアター,千葉,13,S(mile)ING!,,大橋彩香,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/4/6,THE IDOLM@STER CINDERELLA GIRLS 1stLIVE WONDERFUL M@GIC!!,1stLIVE WONDERFUL M@GIC!!,day2,舞浜アンフィシアター,千葉,14,輝く世界の魔法,,佳村はるか,原紗友里,五十嵐裕美,高森奈津美,黒沢ともよ,山本希望,洲崎綾,松嵜麗,青木瑠璃子,早見沙織,大橋彩香,大坪由佳,津田美波,内田真礼,福原綾香,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/4/6,THE IDOLM@STER CINDERELLA GIRLS 1stLIVE WONDERFUL M@GIC!!,1stLIVE WONDERFUL M@GIC!!,day2,舞浜アンフィシアター,千葉,15,Nation Blue,,洲崎綾,青木瑠璃子,早見沙織,内田真礼,福原綾香,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/4/6,THE IDOLM@STER CINDERELLA GIRLS 1stLIVE WONDERFUL M@GIC!!,1stLIVE WONDERFUL M@GIC!!,day2,舞浜アンフィシアター,千葉,16,Twilight Sky,,青木瑠璃子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/4/6,THE IDOLM@STER CINDERELLA GIRLS 1stLIVE WONDERFUL M@GIC!!,1stLIVE WONDERFUL M@GIC!!,day2,舞浜アンフィシアター,千葉,17,Never say never,,福原綾香,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/4/6,THE IDOLM@STER CINDERELLA GIRLS 1stLIVE WONDERFUL M@GIC!!,1stLIVE WONDERFUL M@GIC!!,day2,舞浜アンフィシアター,千葉,18,ヴィーナスシンドローム,,洲崎綾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/4/6,THE IDOLM@STER CINDERELLA GIRLS 1stLIVE WONDERFUL M@GIC!!,1stLIVE WONDERFUL M@GIC!!,day2,舞浜アンフィシアター,千葉,19,華蕾夢ミル狂詩曲 ～魂ノ導～,,内田真礼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/4/6,THE IDOLM@STER CINDERELLA GIRLS 1stLIVE WONDERFUL M@GIC!!,1stLIVE WONDERFUL M@GIC!!,day2,舞浜アンフィシアター,千葉,20,こいかぜ,,早見沙織,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/4/6,THE IDOLM@STER CINDERELLA GIRLS 1stLIVE WONDERFUL M@GIC!!,1stLIVE WONDERFUL M@GIC!!,day2,舞浜アンフィシアター,千葉,21,ススメ☆オトメ ～jewel parade～,,佳村はるか,原紗友里,五十嵐裕美,高森奈津美,黒沢ともよ,山本希望,洲崎綾,松嵜麗,青木瑠璃子,早見沙織,大橋彩香,大坪由佳,津田美波,内田真礼,福原綾香,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/4/6,THE IDOLM@STER CINDERELLA GIRLS 1stLIVE WONDERFUL M@GIC!!,1stLIVE WONDERFUL M@GIC!!,day2,舞浜アンフィシアター,千葉,22,お願い！シンデレラ,,佳村はるか,原紗友里,五十嵐裕美,高森奈津美,黒沢ともよ,山本希望,洲崎綾,松嵜麗,青木瑠璃子,早見沙織,大橋彩香,大坪由佳,津田美波,内田真礼,福原綾香,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/11/30,THE IDOLM@STER CINDERELLA GIRLS 2ndLIVE PARTY M@GIC!!,2ndLIVE PARTY M@GIC!!,,代々木競技場 第1体育館,東京,1,お願い！シンデレラ,,佳村はるか,金子有希,原紗友里,五十嵐裕美,高森奈津美,桜咲千依,三宅麻理恵,山本希望,松井恵理子,松田颯水,松嵜麗,上坂すみれ,青木瑠璃子,大橋彩香,大空直美,東山奈央,福原綾香,牧野由依,立花理香,鈴木絵理,渕上舞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/11/30,THE IDOLM@STER CINDERELLA GIRLS 2ndLIVE PARTY M@GIC!!,2ndLIVE PARTY M@GIC!!,,代々木競技場 第1体育館,東京,2,We're the friends!,,金子有希,原紗友里,五十嵐裕美,桜咲千依,三宅麻理恵,松田颯水,大空直美,東山奈央,牧野由依,立花理香,鈴木絵理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/11/30,THE IDOLM@STER CINDERELLA GIRLS 2ndLIVE PARTY M@GIC!!,2ndLIVE PARTY M@GIC!!,,代々木競技場 第1体育館,東京,3,S(mile)ING!,,大橋彩香,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/11/30,THE IDOLM@STER CINDERELLA GIRLS 2ndLIVE PARTY M@GIC!!,2ndLIVE PARTY M@GIC!!,,代々木競技場 第1体育館,東京,4,TOKIMEKIエスカレート,,佳村はるか,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
